    0.421093034744262695E+01    0.415183544158935547E+01    0.404156374931335449E+01    0.354390441603817985E+01    0.746112251377975255E+01    0.450060248374938965E+00    0.237500790963736774E+01    0.894147801399231001E+00    0.234465732544660543E+01    0.150622575572829813E+02    0.148569199166670352E+02   -0.342060582462171059E+01
    0.746563418519863298E+01    0.504243591856323281E+01    0.242442741003228424E+01    0.299211247836840588E+01    0.736530428468902532E+01    0.265379994494065241E+00    0.206480247021750207E+01    0.874750044517001890E+00    0.225884696066952717E+01    0.151733251980823827E+02    0.147869496766361888E+02   -0.342059208731301734E+01
    0.247312167792455329E+01    0.277183740985543992E+01    0.201479775189657451E+01    0.248179888846041496E+01    0.744312499130723193E+01    0.540512826268020108E+00    0.335770701982626463E+01    0.950189546721326717E+00    0.260918292682920594E+01    0.151817197212747672E+02    0.149996338920818264E+02   -0.341856662032745096E+01
    0.793728942230871581E+01    0.942806276526764631E+00    0.294884913653722425E+01    0.282168224027370229E+01    0.685405955890015139E+01    0.364855515136160879E+00    0.213301963702046482E+01    0.780287921848721866E+00    0.256735315550396104E+01    0.152151266424345479E+02    0.148405856827655356E+02   -0.341727243267042313E+01
    0.123129621942995882E+01    0.342379787873566865E+01    0.142652633361168979E+01    0.171737282331937835E+01    0.661375126276404313E+01    0.313927755578851164E+00    0.273967855115019754E+01    0.907056660109137436E+00    0.294098152678014735E+01    0.151873439690542771E+02    0.149442144595618824E+02   -0.341515964721564824E+01
    0.288011385046486490E+01    0.615940773117903539E+01    0.560010624576593585E+01    0.175387627611194863E+01    0.558352120316585410E+01    0.415630069085478393E+00    0.376870369253933823E+01    0.630253123330716591E+00    0.262051704831141041E+01    0.152924112587949210E+02    0.150219805494324117E+02   -0.341338870264314842E+01
    0.733885826456226820E+01    0.659586186335782010E+01    0.275430108726581935E+01    0.288976932351974947E+01    0.745590720306582355E+01    0.385165570674945390E+00    0.222312368613888722E+01    0.702378790409730058E+00    0.288318800314013224E+01    0.151628523732262614E+02    0.148741546784419825E+02   -0.340206197242746278E+01
    0.578198145865058777E+01    0.570397397689806240E+01    0.562378822349951601E+01    0.516190105703779878E+01    0.546605565994335496E+01    0.379165631255243829E+00    0.163802127471329984E+01    0.344739979833118437E+00    0.285854709209715230E+01    0.148991973406303924E+02    0.147227116265086782E+02   -0.337715757672348360E+01
    0.614797124463672162E+01    0.203790986371920990E+01    0.752055617948471422E+01    0.208823707162625904E+01    0.484953078636493373E+01    0.504323520450279950E+00    0.279457086148580158E+01    0.701227068619734939E+00    0.242501978868979462E+01    0.151563234425250890E+02    0.149153990977511182E+02   -0.337604956365875752E+01
    0.264958730871220860E+01    0.650381794027473781E+01    0.504490894755976438E+01    0.236482260787965837E+01    0.700149540681138838E+01    0.440725198144212627E+00    0.248436085195050715E+01    0.520025913651828375E+00    0.263840878150719060E+01    0.152008572281111221E+02    0.149025036152132877E+02   -0.337443549088842820E+01
