    0.320183706283569336E+01    0.228812980651855469E+01    0.144827041029930115E+01    0.211770514037041480E+01    0.671593271824416949E+01    0.228283619880676275E+00    0.125896554514003522E+02    0.301741707324981734E+00    0.304107728517055520E+01    0.155302866148530061E+02    0.155288069459678173E+02    0.155298388117629909E+02   -0.739918283344332167E+03   -0.801503421579836051E+01    1
    0.269631385803222656E+01    0.243566703796386719E+01    0.646942424774169922E+01    0.366205902036983311E+01    0.676195920352615953E+01    0.110499024391174316E+00    0.268888594179396598E+02    0.198541945219039923E+00    0.294748870158195508E+01    0.158587795815768882E+02    0.158579582567444763E+02    0.158591959547473529E+02   -0.739520090995553119E+03   -0.801536754913177063E+01    1
    0.231168317794799805E+01    0.334469604492187500E+01    0.374594184756278992E+01    0.352560261932746855E+01    0.777926898456624283E+01    0.540536272525787398E+00    0.138847311131769136E+02    0.489384812116622991E+00    0.247556878829002347E+01    0.155724635667892706E+02    0.155726695369192232E+02    0.155736880881076107E+02   -0.739505597988250543E+03   -0.801570088246519674E+01    1
    0.237527608871459961E+01    0.171607780456542969E+01    0.127207699418067932E+01    0.570650933826830453E+01    0.591795826734475749E+01    0.257395386695861816E+00    0.298753641479455787E+02    0.189458805322647084E+00    0.303607975202798830E+01    0.159046528867756685E+02    0.159037461667003033E+02    0.159048067216126459E+02   -0.739390215914131659E+03   -0.801603421579841147E+01    1
    0.514933824539184570E+01    0.755344104766845703E+01    0.722947198152542114E+01    0.523244000266207188E+01    0.551689717432264093E+01    0.193855035305023182E+00    0.295990626778744481E+01    0.721440094709396407E+00    0.261004846459627160E+01    0.151378315717305387E+02    0.150899632483446258E+02    0.150888992321853177E+02   -0.739097737669416460E+03   -0.801636754913170080E+01    1
    0.288533544540405273E+01    0.397160625457763672E+01    0.302457648515701294E+01    0.415810391743587182E+01    0.785415508026920151E+01    0.131336069107055670E+00    0.298635656792617468E+02    0.183108729124069225E+00    0.234654355174303042E+01    0.159037638421877379E+02    0.159041103673316950E+02    0.159043280838736827E+02   -0.738989033467815489E+03   -0.801670088246502388E+01    1
    0.431519651412963867E+01    0.707671165466308594E+00    0.281974512338638306E+01    0.247970254544148139E+01    0.827071189926244976E+01    0.243765795230865473E+00    0.157463723578083172E+02    0.482193809747695989E+00    0.265757505184412013E+01    0.156274052681978350E+02    0.156273617736605068E+02    0.156268667206855092E+02   -0.738887112336459609E+03   -0.801703421579835762E+01    1
    0.208273601531982422E+01    0.379115724563598633E+01    0.167292106151580811E+01    0.343898457485700959E+01    0.479373042232179714E+01    0.276820337772369363E+00    0.295725702286422312E+02    0.188101285696029685E+00    0.295237647390365598E+01    0.158997858318272787E+02    0.159003841551739900E+02    0.159003612048097001E+02   -0.738770190998400722E+03   -0.801736754913168959E+01    1
    0.116861534118652344E+01    0.724510812759399414E+01    0.797895494103431702E+01    0.293063605813539141E+01    0.415753800521028793E+01    0.296536397933959972E+00    0.246258170722838621E+01    0.222062557935714722E+00    0.282125986105203630E+01    0.150837630143786505E+02    0.150866419202867448E+02    0.150948831151960743E+02   -0.738590747141434349E+03   -0.801770088246501977E+01    1
    0.228229904174804688E+01    0.276039075851440430E+01    0.874994277954101562E+00    0.334336348461724597E+01    0.550304712052444245E+01    0.486676478385925315E+00    0.251603143781152561E+02    0.467481249570846580E+00    0.300260057628154753E+01    0.158303211715237140E+02    0.158289360247358850E+02    0.158303003001738052E+02   -0.738534710073326664E+03   -0.801803421579835707E+01    1
    0.278112602233886719E+01    0.109506940841674805E+01    0.306177738308906555E+01    0.778754263334124897E+01    0.822640660815814506E+01    0.325559937953948997E+00    0.340123231074153551E+02    0.120175576210021978E+00    0.286361185055971124E+01    0.159602883344773154E+02    0.159601222503997136E+02    0.159609930120461829E+02   -0.738328604581878608E+03   -0.801836754913172634E+01    1
    0.265777873992919922E+01    0.875625133514404297E+00    0.949241399765014648E+00    0.395865660159108046E+01    0.695335963083081143E+01    0.469777774810790971E+00    0.138998340923587680E+02    0.782386213541030884E+00    0.281723190712928773E+01    0.155721111202466140E+02    0.155729021731884743E+02    0.155713891471473040E+02   -0.738268371323970314E+03   -0.801870088246516666E+01    1
    0.282504415512084961E+01    0.345239639282226562E-01    0.765813171863555908E+00    0.510347255347483397E+01    0.627504393858464127E+01    0.523881042003631614E+00    0.316957758604330451E+02    0.566876834630966164E+00    0.252482315963506698E+01    0.159293384611279532E+02    0.159299886484688393E+02    0.159304667593908125E+02   -0.738231481895284560E+03   -0.801903421579855546E+01    1
    0.277463483810424805E+01    0.509257411956787109E+01    0.698713439702987671E+01    0.586727700370539740E+01    0.614879208069028671E+01    0.308400845527648904E+00    0.197174611139722877E+02    0.289700412750244163E+00    0.235483573126792889E+01    0.157246376446395697E+02    0.157234466303539886E+02    0.157245960833118197E+02   -0.738080498052708890E+03   -0.801936754913178618E+01    1
    0.265587139129638672E+01    0.213824558258056641E+01    0.100938054919242859E+01    0.219368027655622022E+01    0.794540198570244183E+01    0.392631936073303267E+00    0.361480560025998354E+01    0.941601336002349854E+00    0.240962480086088160E+01    0.151141988313967719E+02    0.150712882953271556E+02    0.150918177462641570E+02   -0.737697191285589383E+03   -0.801970088246510038E+01    1
    0.523681497573852539E+01    0.661084222793579102E+01    0.299594971537590027E+01    0.490413578643290471E+01    0.497770609471872927E+01    0.257822000980377219E+00    0.873827621701166102E+01    0.253886431455612183E+00    0.285487035506963727E+01    0.153732031758250098E+02    0.153708801760216804E+02    0.153728503930951526E+02   -0.737591005638747788E+03   -0.802003421579841635E+01    1
    0.494407272338867188E+01    0.290252685546875000E+01    0.752847033739089966E+01    0.261703491982155345E+01    0.772241263947091916E+01    0.226857221126556402E+00    0.225710297414240202E+02    0.107558894157409671E+00    0.247653497701883296E+01    0.157818291951222065E+02    0.157827028647267298E+02    0.157824234706599711E+02   -0.737496949498561776E+03   -0.802036754913166483E+01    1
    0.291513967514038086E+01    0.157012844085693359E+01    0.311201113462448120E+01    0.410122117719069479E+01    0.756670049053987892E+01    0.457287156581878684E+00    0.931758166979686564E+01    0.682000517845153809E+00    0.226507430356740924E+01    0.153990908995375406E+02    0.154019324723430060E+02    0.153990921490671333E+02   -0.737447056798448330E+03   -0.802070088246512114E+01    1
    0.230582380294799805E+01    0.419051122665405273E+01    0.135453748703002930E+01    0.436905132760185211E+01    0.700975891780783655E+01    0.420352101325988770E+00    0.177846682934948888E+02    0.366180813312530495E+00    0.263744752848148334E+01    0.156802960730213741E+02    0.156786757959162433E+02    0.156800297281075647E+02   -0.737412757407341473E+03   -0.802103421579840514E+01    1
    0.236966085433959961E+01    0.686271190643310547E+01    0.276332843303680420E+01    0.628166669091278074E+01    0.673893161682030239E+01    0.426893472671508789E+00    0.261067983374976542E+02    0.296601521968841597E+00    0.304456483530998234E+01    0.158450169677176476E+02    0.158459966442879310E+02    0.158451546004015924E+02   -0.737360045421458608E+03   -0.802136754913165184E+01    1
    0.266489553451538086E+01    0.332825040817260742E+01    0.372523564100265503E+01    0.261347350602622708E+01    0.785055496165239219E+01    0.235630619525909413E+00    0.686874940275512991E+01    0.699164026975631736E+00    0.233844032883644104E+01    0.153189841449918216E+02    0.153114204304654216E+02    0.152966234384378605E+02   -0.737348329806286074E+03   -0.802170088246500690E+01    1
