    0.658521707704696180E+01    0.104232134597328407E+01    0.478932693133085863E+01    0.295911602186927958E+01    0.443661129970759927E+01    0.414370475048299491E+00    0.240903105738784262E+01    0.809900402012087461E+00    0.229065278488253954E+01    0.149737130988091440E+02    0.148814355601512442E+02    0.148572345221678219E+02    0.369173463318566430E+00
    0.550157276888621194E+01    0.209207541997535618E+01    0.724276903914089587E+01    0.307261259782168139E+01    0.508546814586313012E+01    0.380030467248276160E+00    0.266202738492728130E+01    0.709908841353134812E+00    0.223872307590779762E+01    0.151433172462540089E+02    0.149582661041265688E+02    0.149550414835359966E+02    0.200603743976250160E+01
    0.550157276888621194E+01    0.209207541997535618E+01    0.724276903914089587E+01    0.307261259782168139E+01    0.508546814586313012E+01    0.380030467248276160E+00    0.266202738492728130E+01    0.709908841353134812E+00    0.223872307590779762E+01    0.151433172462540089E+02    0.149582661041265688E+02    0.149550414835359966E+02    0.200603743976250160E+01
    0.475993006053144985E+01    0.478215344001495790E+01    0.179060667790158101E+01    0.379102659001869968E+01    0.613531526272355610E+01    0.449603077619207370E+00    0.330164517998719020E+01    0.665255894422214000E+00    0.224436404653141341E+01    0.152592213443593234E+02    0.150156620423607858E+02    0.150382649613546882E+02    0.122443839341577521E+01
    0.356771165271563218E+00    0.787395855524945798E+01    0.370616794943576444E+01    0.267858358019243603E+01    0.440284661803418054E+01    0.424692713637989883E+00    0.215528665708155209E+01    0.469347844874075881E+00    0.224270021244162798E+01    0.149970241992677558E+02    0.148520610159255497E+02    0.148637125410154720E+02    0.268171735311906323E+01
    0.356771165271563218E+00    0.787395855524945798E+01    0.370616794943576444E+01    0.267858358019243603E+01    0.440284661803418054E+01    0.424692713637989883E+00    0.215528665708155209E+01    0.469347844874075881E+00    0.224270021244162798E+01    0.149970241992677558E+02    0.148520610159255497E+02    0.148637125410154720E+02    0.268171735311906323E+01
    0.356771165271563218E+00    0.787395855524945798E+01    0.370616794943576444E+01    0.267858358019243603E+01    0.440284661803418054E+01    0.424692713637989883E+00    0.215528665708155209E+01    0.469347844874075881E+00    0.224270021244162798E+01    0.149970241992677558E+02    0.148520610159255497E+02    0.148637125410154720E+02    0.268171735311906323E+01
    0.356771165271563218E+00    0.787395855524945798E+01    0.370616794943576444E+01    0.267858358019243603E+01    0.440284661803418054E+01    0.424692713637989883E+00    0.215528665708155209E+01    0.469347844874075881E+00    0.224270021244162798E+01    0.149970241992677558E+02    0.148520610159255497E+02    0.148637125410154720E+02    0.268171735311906323E+01
    0.661571318825721644E+01    0.395269170511782697E+01    0.324869373371014136E+01    0.212838601721131937E+01    0.485261829749107498E+01    0.334740316343506206E+00    0.188557595137172207E+01    0.747447417772792555E+00    0.253735726866615474E+01    0.149718616715995765E+02    0.148129357116612006E+02    0.148328145764485768E+02   -0.195375882702233050E+01
    0.329284675480295608E+01    0.222879729447140473E+01    0.308240507314410728E+01    0.289958252684391971E+01    0.735749267773499938E+01    0.501704661607785152E+00    0.405126989065642462E+01    0.796648378000990864E+00    0.262411765981587575E+01    0.152366808436984638E+02    0.150588559226246925E+02    0.150444501878940340E+02    0.741032978306922274E+00
    0.362260330662006513E+01    0.126732726452350208E+01    0.166605085833390243E+01    0.437958118225917836E+01    0.689280981427325745E+01    0.423929768821572184E+00    0.381364207883160100E+01    0.823791370739136775E+00    0.230427451044552845E+01    0.152436233724576731E+02    0.150143950308254066E+02    0.150394161674603932E+02   -0.223328883347065660E+00
    0.400016731251873825E+01    0.162254295225746109E+00    0.232044550534065497E+01    0.441781381326507905E+01    0.776974551989449402E+01    0.474418497041314779E+00    0.371020774255299868E+01    0.763952365633184138E+00    0.242005029414013206E+01    0.152935657269731013E+02    0.150074518296776382E+02    0.150104313298826035E+02    0.291578174524906086E+00
    0.454934469627690130E+00    0.155823565673032483E+01    0.757679562568850251E+01    0.479576618734878579E+01    0.812209605492260067E+01    0.418596731383273246E+00    0.242581277332895695E+01    0.697532734201792848E+00    0.228222964233773506E+01    0.151413522445082567E+02    0.149061522880706896E+02    0.149206502528239735E+02    0.195380638500762527E+01
    0.454934469627690130E+00    0.155823565673032483E+01    0.757679562568850251E+01    0.479576618734878579E+01    0.812209605492260067E+01    0.418596731383273246E+00    0.242581277332895695E+01    0.697532734201792848E+00    0.228222964233773506E+01    0.151413522445082567E+02    0.149061522880706896E+02    0.149206502528239735E+02    0.195380638500762527E+01
    0.440558108335748599E+01    0.630725455921765654E+00    0.161128702697552306E+01    0.604795264451193493E+01    0.752005787453060126E+01    0.511051276032684187E+00    0.337736441365823570E+01    0.802396188446408476E+00    0.223647864027280630E+01    0.151623363357235661E+02    0.149754392780245134E+02    0.149622067250188095E+02    0.136868289842338409E+01
    0.365971775112248476E+01    0.785028449354980284E+00    0.281850859322034397E+01    0.473411604294254573E+01    0.601664567578090637E+01    0.427896653788828352E+00    0.325759473349958473E+01    0.961579323197420233E+00    0.229733973357587562E+01    0.150549649708603983E+02    0.149523595805994418E+02    0.149624946364748421E+02   -0.266693324845278346E+01
    0.419475511734990825E+01    0.928088467545356566E+00    0.771550650332937060E+01    0.431790079742110322E+01    0.745814700380630669E+01    0.517771386361857711E+00    0.350737678053041702E+01    0.674363442789289502E+00    0.247080549353843937E+01    0.152016902970683603E+02    0.150237662360197302E+02    0.150331665640581598E+02    0.252925987219573134E+01
    0.419475511734990825E+01    0.928088467545356566E+00    0.771550650332937060E+01    0.431790079742110322E+01    0.745814700380630669E+01    0.517771386361857711E+00    0.350737678053041702E+01    0.674363442789289502E+00    0.247080549353843937E+01    0.152016902970683603E+02    0.150237662360197302E+02    0.150331665640581598E+02    0.252925987219573134E+01
    0.419475511734990825E+01    0.928088467545356566E+00    0.771550650332937060E+01    0.431790079742110322E+01    0.745814700380630669E+01    0.517771386361857711E+00    0.350737678053041702E+01    0.674363442789289502E+00    0.247080549353843937E+01    0.152016902970683603E+02    0.150237662360197302E+02    0.150331665640581598E+02    0.252925987219573134E+01
    0.329739988903444647E+01    0.253781784659192322E+00    0.168834020623399228E+01    0.603849128897253529E+01    0.750520334454819071E+01    0.443256166391384654E+00    0.312481944872457573E+01    0.881028433376015552E+00    0.263346044027316495E+01    0.151823925029214415E+02    0.149525669229730678E+02    0.149598705967680683E+02    0.517593489679160301E+00
    0.472037345993369239E+01    0.113454801146938533E+01    0.230419758188944890E+01    0.448616732740132917E+01    0.751162841526641145E+01    0.433719734956479308E+00    0.325608165280875328E+01    0.675052709712570032E+00    0.250267253949994384E+01    0.152046631798364142E+02    0.150143919775017061E+02    0.150109603179992046E+02    0.183385693266331651E+01
    0.189939683320143438E+01    0.666543200737967023E+00    0.619243828708907884E+01    0.300962781014801983E+01    0.374446967286847521E+01    0.363679313302763929E+00    0.246309254520865872E+01    0.815109751953852490E+00    0.260315939065287338E+01    0.151732271613454497E+02    0.149248340598912286E+02    0.149253892794810294E+02    0.759532997030162416E+00
    0.471659661841094380E+01    0.326399923020567817E+01    0.720301003269219997E+01    0.281125948023418593E+01    0.433543494047540356E+01    0.410898706909893163E+00    0.314524042625854250E+01    0.734444973452613170E+00    0.256009534184517662E+01    0.152640850141362758E+02    0.149621963079096147E+02    0.149684578779094828E+02    0.798843922511561666E+00
    0.190106456467205165E+01    0.462446058506975621E+01    0.555305068543424696E+01    0.253945545940563822E+01    0.344241502512434483E+01    0.420179646789552996E+00    0.262919323681102313E+01    0.593122512292907689E+00    0.242984980302813725E+01    0.151241651524558556E+02    0.149584472988963242E+02    0.149663416245941931E+02    0.119972137292493053E+01
